T,Po,U,Ff,RRR
12.8,564.6,89,1,1
8.4,565.7,99,1,1
15.4,563.7,73,4,1
11.1,565.9,94,1,1
10.7,565.1,97,2,0
10.6,565.5,97,2,1
15.8,563.4,68,2,0
8.9,565.5,98,0,1
10.2,566.3,97,2,0
13.8,563.6,88,4,1
11.2,565.5,91,2,0
14.4,563.4,83,4,1
9.6,565.9,99,2,1
9.6,565.5,98,1,0
10.8,565.5,96,1,1
14.2,564.6,79,1,0
9.8,565.9,88,2,0
16.1,562.8,74,3,0
11.9,565.5,94,1,1
11.1,565.2,95,1,1
11.4,564.6,96,2,0
14.4,565.3,64,3,0
16.8,564.8,59,10,0
10.6,565.2,95,1,1
12.1,564.6,87,2,1
11.4,567.0,84,1,0
10.9,566.1,95,2,0
12.0,564.2,95,2,1
13.8,563.3,85,3,1
11.2,564.4,96,1,1
11.5,565.2,98,1,1
10.6,564.0,98,3,0
12.1,563.4,97,1,1
13.0,563.7,95,4,1
10.1,565.1,98,2,1
15.2,562.9,67,4,1
11.2,563.4,85,1,0
12.4,564.8,83,2,1
11.6,565.8,86,3,0
10.3,566.7,91,3,0
12.2,564.3,94,1,1
12.9,563.3,86,1,1
13.9,564.2,89,1,1
14.9,563.4,86,2,1
9.8,565.5,97,2,1
13.3,564.8,91,2,1
13.9,563.7,97,6,1
13.5,564.2,90,2,1
14.4,563.1,88,5,1
12.0,565.2,84,3,1
11.5,565.5,97,1,1
13.6,564.3,91,1,1
14.6,562.9,86,3,1
10.2,565.2,99,2,1
12.0,564.6,93,1,1
13.4,563.8,89,3,1
15.5,564.0,85,6,1
11.6,565.3,98,1,1
12.8,566.3,96,1,1
12.4,564.8,98,1,1
11.8,565.7,98,2,1
17.4,565.2,67,2,1
14.9,567.0,77,2,1
11.6,565.7,91,2,1
11.2,564.9,92,2,0
11.9,565.7,91,3,1
12.1,565.3,93,2,1
15.5,562.9,86,3,1
11.7,566.4,97,1,1
12.0,564.8,97,2,1
12.2,564.0,96,0,1
12.8,564.6,97,1,1
13.4,564.6,89,2,0
15.1,563.7,85,4,0
11.3,565.7,91,3,1
11.5,565.5,94,3,1
13.0,565.1,84,1,0
13.0,565.1,84,2,0
12.5,566.1,92,2,0
17.1,565.5,72,2,0
12.6,564.9,96,2,1
12.2,563.7,97,1,1
14.3,563.7,87,1,1
11.9,563.4,97,1,1
12.6,564.7,95,1,1
11.9,563.4,97,1,1
12.3,564.2,98,1,1
13.5,564.2,93,3,1
18.7,563.8,70,2,0
13.3,565.3,88,1,1
12.4,565.2,93,1,1
10.7,566.4,95,1,1
11.0,565.5,91,3,1
13.4,564.6,82,1,0
15.4,563.4,74,5,0
11.2,565.1,99,1,1
11.6,564.9,96,1,1
13.0,566.3,92,2,0
15.2,565.2,77,2,1
15.2,563.7,85,3,1
12.7,565.5,90,2,1
14.9,564.2,82,3,0
12.5,566.2,90,2,1
12.7,565.8,89,1,0
12.0,566.3,94,2,0
12.3,564.8,93,2,1
10.4,566.1,100,2,1
11.6,565.7,94,2,1
11.6,565.9,95,1,1
11.1,565.7,94,1,1
13.8,564.3,89,2,1
15.1,563.4,82,4,0
11.1,564.8,99,1,1
14.3,564.9,85,1,1
15.1,563.7,86,1,0
11.8,565.3,89,2,1
13.4,564.9,86,1,1
14.2,564.0,86,2,1
11.9,565.2,97,1,1
17.0,562.7,74,3,0
17.7,564.0,63,2,0
10.4,565.3,93,1,1
13.4,565.8,82,2,0
12.0,564.7,96,2,1
12.0,564.9,94,1,1
12.6,564.9,96,1,0
14.2,563.4,90,1,1
14.2,562.5,89,4,0
13.3,564.3,87,1,0
17.7,564.9,64,2,0
13.1,564.7,90,1,1
12.1,564.8,96,1,0
13.8,564.2,83,1,0
17.5,562.9,68,5,0
16.7,564.2,76,6,0
13.6,565.5,87,2,1
13.1,564.6,88,0,0
16.0,564.8,75,7,0
12.3,565.2,87,1,0
13.6,562.7,92,2,1
11.9,564.4,94,2,1
11.2,564.7,91,5,1
11.6,563.3,96,1,1
11.2,564.0,94,1,1
11.1,565.2,93,2,1
11.0,564.0,96,2,0
13.3,564.0,88,2,0
12.7,563.8,91,3,0
9.5,564.6,94,2,1
17.4,563.1,56,3,0
10.5,565.3,92,2,0
8.6,565.5,96,2,1
10.6,564.2,93,2,1
8.9,565.2,97,2,1
11.6,565.3,96,1,1
11.8,564.3,92,1,0
10.6,565.3,90,1,0
13.2,564.9,89,2,1
13.5,564.2,88,1,1
11.2,565.8,87,2,1
11.5,566.1,95,0,1
11.1,564.9,97,1,0
11.7,565.8,94,1,1
9.2,565.9,95,1,0
11.0,565.9,98,1,0
11.8,564.8,94,1,1
15.1,564.9,81,4,0
11.4,565.7,99,2,1
11.6,565.9,97,1,0
9.7,565.7,97,1,1
11.3,565.7,96,2,0
14.5,566.6,80,2,0
11.2,565.7,96,1,1
11.9,564.2,97,1,1
10.9,565.5,95,1,0
11.1,564.6,96,1,0
13.4,565.7,88,4,0
11.5,565.7,87,2,1
11.5,565.9,96,2,1
10.3,565.2,97,1,1
10.9,565.9,96,2,1
9.0,565.2,98,2,1
10.6,564.4,97,1,0
12.1,564.2,88,3,1
10.4,564.9,96,2,1
12.0,564.4,93,1,1
7.5,565.3,98,1,1
10.5,564.9,95,3,1
9.6,565.3,98,2,1
9.6,564.6,90,2,1
6.9,564.8,97,3,0
13.4,563.7,68,3,0
